original_title,release_date
Martin Lawrence Live: Runteldat,8/1/02
Cat on a Hot Tin Roof,2/17/58
Beneath the Planet of the Apes,5/1/70
Air Bud,8/1/97
Pokémon 3: The Movie,7/8/00
Friday the 13th Part VI: Jason Lives,8/1/86
The Bridge on the River Kwai,10/2/57
Spaced Invaders,4/27/90
Family Plot,4/9/76
The Apartment,6/15/60
Jason Goes to Hell: The Final Friday,8/13/93
Torn Curtain,7/13/66
Dave Chappelle's Block Party,9/12/05
Slow West,4/16/15
Krush Groove,10/25/85
Next Day Air,2/6/09
Elmer Gantry,6/19/60
Judgment at Nuremberg,12/1/61
Trippin',5/12/99
Red River,8/26/48
Phat Girlz,1/1/06
Before Midnight,4/5/13
Teen Wolf Too,11/20/87
Phantasm II,7/8/88
Woman Thou Art Loosed,9/30/04
Real Women Have Curves,1/1/02
Water,9/8/05
East Is East,5/14/99
Whipped,9/1/00
Kama Sutra - A Tale of Love,9/11/96
Please Give,1/22/10
Willy Wonka & the Chocolate Factory,6/29/71
Warlock: The Armageddon,5/1/93
8 Heads in a Duffel Bag,4/18/97
Days of Heaven,9/13/78
Thirteen Conversations About One Thing,9/2/01
Jawbreaker,1/30/99
Basquiat,8/9/96
Frances Ha,5/17/13
Tsotsi,8/18/05
Happiness,10/16/98
DysFunktional Family,4/4/03
Tusk,9/19/14
올드보이,1/1/03
Letters to God,4/9/10
Hobo with a Shotgun,5/6/11
Compadres,3/31/16
Freeway,8/23/96
Love's Abiding Joy,10/6/06
Fish Tank,5/14/09
Damsels in Distress,4/6/12
Creature,5/17/98
Bachelorette,8/6/12
Brave New Girl,4/25/04
Tim and Eric's Billion Dollar Movie,3/2/12
Sommersturm,9/2/04
Fort McCoy,1/1/14
Chain Letter,10/1/10
Just Looking,10/21/99
The Divide,3/13/11
The Eclipse,4/24/09
Demonic,2/12/15
My Big Fat Independent Movie,3/4/05
The Deported,6/15/10
Tanner Hall,9/14/09
Open Road,4/12/13
They Came Together,6/27/14
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,1/14/13
Never Back Down 2: The Beatdown,9/13/11
Point Blank,8/30/67
Four Single Fathers,1/15/09
Enter the Dangerous Mind,3/11/13
Something Wicked,4/4/14
AWOL-72,8/7/15
Iguana,4/1/88
Chicago Overcoat,10/10/09
Barry Munday,3/13/10
Central do Brasil,1/16/98
Pocketful of Miracles,12/18/61
Close Range,12/11/15
Boynton Beach Club,8/5/05
Amnesiac,8/14/15
Freakonomics,10/1/10
Haute tension,6/18/03
Griff the Invisible,8/19/11
Unnatural,10/16/15
Hustle & Flow,7/22/05
Some Like It Hot,3/18/59
Friday the 13th Part VII: The New Blood,5/13/88
The Wizard of Oz,8/15/39
Young Frankenstein,12/15/74
Diary of the Dead,9/8/07
Lage Raho Munna Bhai,1/1/06
Ulee's Gold,6/13/97
The Black Stallion,10/17/79
Sardaarji,6/26/15
Rejsen til Saturn,9/26/08
Donovan's Reef,6/12/63
De jurk,3/21/96
A Guy Named Joe,3/1/44
Blazing Saddles,2/7/74
Friday the 13th: The Final Chapter,4/13/84
Ida,10/25/13
Maurice,9/18/87
Beer League,9/15/06
Riding Giants,7/9/04
Los cronocrímenes,9/20/07
疯狂的赛车,1/20/09
Timber Falls,12/7/07
Singin' in the Rain,4/10/52
"Fat, Sick & Nearly Dead",4/16/10
A Haunted House,1/11/13
2016: Obama's America,7/13/12
That Thing You Do!,10/4/96
Halloween III: Season of the Witch,10/22/82
Escape from the Planet of the Apes,5/20/71
Hud,5/29/63
Kevin Hart: Let Me Explain,7/3/13
My Own Private Idaho,10/17/91
Garden State,7/28/04
Before Sunrise,1/27/95
Sur le seuil,10/3/03
Jesus' Son,9/5/99
Saving Face,9/12/04
Brick Lane,11/16/07
Robot & Frank,8/16/12
My Life Without Me,3/7/03
The Spectacular Now,8/2/13
Religulous,10/1/08
Fuel,11/14/08
Valley of the Heart's Delight,4/24/06
Eye of the Dolphin,8/24/07
8: The Mormon Proposition,1/1/10
The Other End of the Line,10/29/08
Anatomie,2/3/00
Sleep Dealer,12/10/08
Super,9/9/10
Christmas Mail,12/1/10
Stung,7/3/15
Antibirth,9/2/16
Get on the Bus,10/16/96
Thr3e,12/1/06
Idiocracy,9/1/06
The Rise of the Krays,8/29/15
This Is England,9/12/06
U.F.O.,12/14/12
Bathing Beauty,7/1/44
Go for It!,5/13/11
"Dancer, Texas Pop. 81",5/1/98
Show Boat,7/13/51
Redemption Road,8/26/11
The Calling,8/5/14
The Brave Little Toaster,7/9/87
Fantasia,11/13/40
8 Days,6/15/14
Friday the 13th Part III,8/13/82
Friday the 13th: A New Beginning,3/22/85
The Last Sin Eater,2/9/07
Do You Believe?,3/20/15
Impact Point,6/13/08
The Valley of Decision,6/1/45
Eden,10/22/15
Chicken Tikka Masala,4/22/05
There's Always Woodstock,11/14/14
Jack Brooks: Monster Slayer,10/9/07
The Best Years of Our Lives,12/25/46
Bully,6/15/01
Elling,3/16/01
Mi America,10/16/15
Lies in Plain Sight,10/3/10
Sharkskin,1/1/15
Containment,7/9/15
The Timber,2/27/15
From Russia with Love,10/11/63
The Toxic Avenger Part II,2/24/89
Sleeper,12/17/73
It Follows,2/4/15
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,8/6/72
To Kill a Mockingbird,12/25/62
Mad Max 2,12/24/81
醉拳二,2/3/94
Boys Don't Cry,9/2/99
Silent House,1/21/11
Das Leben der Anderen,3/15/06
Courageous,9/30/11
The Hustler,9/25/61
Boom Town,8/30/40
Les triplettes de Belleville,6/11/03
Smoke Signals,1/16/98
American Splendor,8/15/03
Before Sunset,2/10/04
Amores perros,6/16/00
Thirteen,8/20/03
Gentleman's Agreement,11/11/47
Winter's Bone,6/11/10
Touching the Void,9/5/03
Alexander's Ragtime Band,5/24/38
Me and You and Everyone We Know,6/17/05
Inside Job,10/8/10
We Are Your Friends,8/26/15
Ghost Dog: The Way of the Samurai,9/13/99
Harsh Times,9/11/05
Captive,9/17/15
Full Frontal,8/2/02
Witchboard,12/31/86
Shortbus,5/20/06
Vals Im Bashir,6/25/08
"The Book of Mormon Movie, Volume 1: The Journey",9/12/03
No End in Sight,7/27/07
The Diary of a Teenage Girl,8/7/15
In the Shadow of the Moon,1/19/07
Meek's Cutoff,9/5/10
Inside Deep Throat,2/11/05
Dinner Rush,9/1/00
Clockwatchers,1/1/97
The Virginity Hit,9/10/10
Subway,4/10/85
House of D,4/15/05
Teeth,1/19/07
Six-String Samurai,9/18/98
Hum To Mohabbat Karega,5/26/00
It's All Gone Pete Tong,9/12/04
Saint John of Las Vegas,6/10/09
24 7: Twenty Four Seven,8/31/97
Stonewall,9/18/15
Roadside Romeo,10/24/08
This Thing of Ours,1/1/05
The Lost Medallion: The Adventures of Billy Stone,3/1/13
The Last Five Years,11/3/14
The Missing Person,1/16/09
Return of the Living Dead 3,10/1/93
London,2/10/05
Sherrybaby,9/8/06
Circle,10/2/15
Eden Lake,9/12/08
Plush,9/13/13
Lesbian Vampire Killers,3/16/09
Jerusalema,2/11/08
Freeze Frame,5/1/04
Grave Encounters,9/9/11
Stitches,5/19/12
Nine Dead,1/1/10
"To Be Frank, Sinatra at 100",12/12/15
Bananas,4/28/71
Rockaway,7/7/07
The Lady from Shanghai,12/24/47
No Man's Land: The Rise of Reeker,5/1/08
Highway,1/1/02
Small Apartments,3/10/12
Coffee Town,7/9/13
The Ghastly Love of Johnny X,4/26/13
All Is Bright,9/10/13
Die Schlangengrube und das Pendel,10/5/67
Straight A's,1/16/13
A Funny Thing Happened on the Way to the Forum,10/16/66
Slacker Uprising,9/27/07
The Legend of Hell's Gate: An American Conspiracy,3/3/11
Walking with the Dead,3/20/15
The Curse of Downers Grove,8/21/15
Shark Lake,10/2/15
River's Edge,8/27/86
Northfork,1/1/03
The Marine 4: Moving Target,4/10/15
Buried,9/24/10
Submarine,3/18/11
The Square,6/7/13
Chacun sa nuit,7/21/06
Man on Wire,7/25/08
Abandoned,8/30/15
Brotherly Love,4/24/15
The Last Exorcism,8/27/10
Nowhere Boy,12/25/09
A Streetcar Named Desire,9/18/51
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1/29/64
El Crimen del Padre Amaro,10/1/02
Beasts of the Southern Wild,6/29/12
Battle for the Planet of the Apes,6/15/73
Songcatcher,3/1/01
Higher Ground,8/26/11
The Greatest Movie Ever Sold,4/22/11
Ed and His Dead Mother,6/4/93
Travellers and Magicians,9/9/03
Hang 'em High,7/31/68
Deadline - U.S.A.,3/14/52
Sublime,6/15/07
A Beginner's Guide to Snuff,3/4/16
Independence Daysaster,6/27/13
Dysfunctional Friends,2/3/12
Lola rennt,8/20/98
May,1/13/02
Against the Wild,12/29/13
La misma luna,3/20/08
Conquest of the Planet of the Apes,6/29/72
In the Bedroom,11/23/01
I Spit on Your Grave,6/17/10
"Happy, Texas",12/3/99
My Summer of Love,8/20/04
Dabba,9/19/13
Yes,8/5/05
You Can't Take It With You,8/23/38
From Here to Eternity,8/4/53
She Wore a Yellow Ribbon,10/22/49
Grace Unplugged,10/4/13
Foolish,4/9/99
N-Secure,10/15/10
سكر بنات,7/1/07
Out of the Dark,8/27/14
Ha-Buah,6/6/06
The Conversation,4/7/74
La sirène du Mississipi,6/18/69
I Love Your Work,10/5/03
Cabin Fever,2/12/16
Waitress,5/25/07
Bloodsport,2/26/88
Mr. Smith Goes to Washington,10/19/39
Kids,7/28/95
The Squid and the Whale,10/5/05
Kissing Jessica Stein,4/21/01
Kickboxer: Vengeance,7/14/16
Spellbound,12/28/45
Exotica,9/24/94
Buffalo '66,1/20/98
Insidious,9/13/10
Repo Man,2/20/84
Nueve Reinas,8/31/00
The Gatekeepers,7/9/12
The Ballad of Jack and Rose,3/25/05
The To Do List,7/24/13
Killing Zoe,10/1/93
The Believer,1/19/01
Snow Angels,3/7/08
Unsullied,8/28/15
Session 9,8/10/01
I Want Someone to Eat Cheese With,1/1/06
Mooz-lum,2/11/11
Hatchet,4/27/06
Modern Times,2/5/36
Stolen Summer,3/22/02
My Name Is Bruce,10/1/07
The Salon,1/13/05
Road Hard,3/6/15
Forty Shades of Blue,12/7/05
Amigo,7/14/10
Pontypool,3/6/09
Trucker,4/24/08
Me You and Five Bucks,7/7/15
The Lords of Salem,9/10/12
Housebound,9/4/14
Wal-Mart: The High Cost of Low Price,11/4/05
Fetching Cody,10/1/05
Last I Heard,1/1/13
Closer to the Moon,11/29/13
Mutant World,9/27/14
Growing Up Smith,2/3/17
Checkmate,7/3/15
Wind Walkers,1/28/16
Snow White and the Seven Dwarfs,12/20/37
La niña santa,5/6/04
Shalako,11/6/68
Incident at Loch Ness,12/17/04
The Dog Lover,7/8/16
GirlHouse,10/16/14
La chambre bleue,5/16/14
House at the End of the Drive,1/11/14
Batman,7/30/66
"Lock, Stock and Two Smoking Barrels",3/5/98
The Ballad of Gregorio Cortez,8/19/83
Festen,5/20/98
Trees Lounge,10/11/96
Vượt Sóng,2/22/06
The Basket,5/5/00
Eddie: The Sleepwalking Cannibal,4/22/12
Kurmanjan Datka. Queen of the Mountains,8/22/14
Def-Con 4,3/15/85
The Hebrew Hammer,1/1/03
Neal 'n' Nikki,12/9/05
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,6/8/10
Forget Me Not,10/22/09
Rebecca,4/12/40
Friday the 13th Part 2,5/1/81
The Lost Weekend,11/25/45
C.H.U.D.,8/31/84
Filly Brown,4/19/13
The Lion of Judah,6/3/11
Niagara,1/21/53
How Green Was My Valley,10/28/41
Da Sweet Blood of Jesus,6/22/14
"Sex, Lies, and Videotape",8/18/89
Saw,10/1/04
Super Troopers,1/18/01
The Algerian,8/7/15
Los insólitos peces gato,8/10/13
Monsoon Wedding,8/30/01
You Can Count on Me,11/17/00
The Trouble with Harry,10/3/55
But I'm a Cheerleader,9/12/99
Home Run,4/19/13
Reservoir Dogs,9/2/92
The Blue Bird,1/19/40
"Il buono, il brutto, il cattivo",12/23/66
Que Horas Ela Volta?,2/8/15
Blue Like Jazz,4/13/12
Down & Out With The Dolls,3/20/03
"Pink Ribbons, Inc.",9/11/11
Certifiably Jonathan,3/1/07
Q,9/14/11
La Navaja De Don Juan,10/27/13
Grand Theft Parsons,6/18/03
Extreme Movie,12/5/08
The Charge of the Light Brigade,10/20/36
Below Zero,10/22/11
Crowsnest,1/1/12
Airborne,9/17/93
Cotton Comes to Harlem,5/27/70
The Wicked Within,10/16/15
Bleeding Hearts,6/1/13
Waiting...,10/7/05
Dead Man's Shoes,9/29/04
From a Whisper to a Scream,9/25/87
Sex With Strangers,2/22/02
Dracula: Pages from a Virgin's Diary,2/28/02
Faith Like Potatoes,10/27/06
Beyond the Black Rainbow,12/3/10
Serbuan maut,9/8/11
The Dead Undead,5/13/10
The Vatican Exorcisms,5/29/13
Casablanca,11/26/42
Lake Mungo,6/17/08
Rocket Singh: Salesman of the Year,12/11/09
Silent Running,3/9/72
Rocky,11/21/76
The Sleepwalker,1/20/14
Tom Jones,10/6/63
Unfriended,4/17/15
Taxi Driver,2/7/76
The Howling,4/3/81
Dr. No,10/4/62
Chernobyl Diaries,5/24/12
Hellraiser,9/11/87
God's Not Dead 2,4/1/16
Cry_Wolf,9/16/05
Gojira ni-sen mireniamu,12/11/99
Blue Valentine,12/27/10
Transamerica,12/23/05
The Devil Inside,1/6/12
Beyond the Valley of the Dolls,7/17/70
Love Me Tender,11/15/56
An Inconvenient Truth,1/24/06
Sands of Iwo Jima,12/14/49
Shine a Light,2/7/08
The Green Inferno,9/4/14
Departure,5/20/16
The Sessions,5/2/12
"Food, Inc.",9/7/08
October Baby,10/30/11
Next Stop Wonderland,8/21/98
The Skeleton Twins,1/18/14
Martha Marcy May Marlene,10/21/11
Obvious Child,6/6/14
Frozen River,8/1/08
20 Feet from Stardom,6/14/13
Two Girls and a Guy,9/7/97
Walking and Talking,7/17/96
Who Killed the Electric Car?,8/4/06
The Broken Hearts Club: A Romantic Comedy,2/1/00
Bubba Ho-tep,6/9/02
Slam,10/7/98
Brigham City,3/30/01
Fiza,9/8/00
Orgazmo,9/6/97
All the Real Girls,8/1/03
Dream with the Fishes,1/1/97
Blue Car,1/11/02
Palo Alto,5/9/14
Ajami,9/17/09
Wristcutters: A Love Story,1/24/06
I Origins,7/18/14
The Battle of Shaker Heights,8/22/03
Jagal,8/31/12
Taxi to the Dark Side,4/30/07
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,1/1/06
Guiana 1838,9/24/04
Lisa Picard Is Famous,5/14/00
Antarctica: A Year on Ice,9/5/13
A LEGO Brickumentary,7/31/15
Hardflip,6/1/12
Chocolate: Deep Dark Secrets,9/16/05
The House of the Devil,4/25/09
The Perfect Host,7/1/10
Safe Men,8/17/98
Speedway Junky,2/11/99
The Last Big Thing,9/23/98
The Specials,9/22/00
16 to Life,9/19/09
Alone With Her,4/28/06
Creative Control,3/11/16
Special,1/30/06
Sparkler,3/19/99
The Helix... Loaded,1/1/05
In Her Line of Fire,4/21/06
The Jimmy Show,1/16/02
Heli,8/9/13
Karachi se Lahore,7/31/15
Loving Annabelle,3/8/06
Hits,1/21/14
Jimmy and Judy,1/1/06
Frat Party,1/1/09
The Party's Over,4/22/65
Proud,7/2/04
The Poker House,6/20/08
Childless,4/3/15
ZMD: Zombies of Mass Destruction,1/1/09
Snow White: A Deadly Summer,3/16/12
A escondidas,10/3/14
My Last Day Without You,6/11/11
Steppin: The Movie,5/19/09
Doc Holliday's Revenge,6/1/14
Black Rock,1/21/12
Truth or Dare,8/5/12
The Pet,5/17/06
Bang Bang Baby,9/8/14
Fear Clinic,10/31/14
Zombie Hunter,7/25/13
A Fine Step,4/16/14
Charly,9/23/68
Banshee Chapter,8/26/13
Ask Me Anything,4/19/14
And Then Came Love,1/1/07
Food Chains,4/26/14
On the Waterfront,6/22/54
L!fe Happens,6/18/11
"4 luni, 3 săptămîni și 2 zile",8/24/07
The Horror Network Vol. 1,10/27/15
Hard Candy,1/14/05
The Quiet,9/12/05
Circumstance,8/26/11
Fruitvale Station,7/25/13
The Brass Teapot,9/8/12
Bambi,8/14/42
The Hammer,4/1/07
Latter Days,7/10/03
Le bonheur d'Elza,4/11/11
1982,12/31/13
"For a Good Time, Call...",8/31/12
Celeste & Jesse Forever,8/3/12
Time Changer,10/25/02
London to Brighton,12/1/06
American Hero,12/11/15
Windsor Drive,6/26/15
جدایی نادر از سیمین,3/15/11
Crying with Laughter,6/1/09
Welcome to the Dollhouse,5/24/95
Ruby in Paradise,10/8/93
Raising Victor Vargas,5/16/02
Die Büchse der Pandora,1/30/29
Harrison Montgomery,1/1/08
Cama adentro,9/21/04
Deterrence,3/10/00
The Mudge Boy,1/17/03
The Young Unknowns,3/12/00
Not Cool,9/23/14
Død snø,1/9/09
Saints and Soldiers,9/11/03
Vessel,10/28/12
American Graffiti,8/1/73
Iraq for Sale: The War Profiteers,1/1/06
Aqua Teen Hunger Force Colon Movie Film for Theaters,4/13/07
Safety Not Guaranteed,6/8/12
Kevin Hart: Laugh at My Pain,9/9/11
Kill List,9/2/11
The Innkeepers,12/1/11
Il conformista,10/21/70
Interview with the Assassin,5/9/02
Donkey Punch,7/18/08
All the Boys Love Mandy Lane,2/15/08
Bled,1/1/08
High Noon,3/27/52
Hoop Dreams,9/12/94
Rize,1/15/05
L.I.E. Long Island Expressway,1/20/01
The Sisterhood of Night,4/10/15
B-Girl,7/29/09
Half Nelson,8/11/06
Naturally Native,10/8/99
Hav Plenty,9/11/97
Adulterers,1/5/16
Escape from Tomorrow,10/11/13
Starsuckers,9/30/09
The Hadza:  Last of the First,10/31/14
After,8/27/12
Treachery,5/16/13
Walter,3/13/15
Top Hat,9/6/35
The Blair Witch Project,7/14/99
Woodstock,3/26/70
The Kentucky Fried Movie,8/10/77
Mercy Streets,10/31/00
Arnolds Park,7/20/07
Broken Vessels,4/18/98
Water & Power,5/2/14
They Will Have to Kill Us First,10/13/15
Light from the Darkroom,1/1/14
Médecin de campagne,3/23/16
The Maid's Room,8/8/14
A Hard Day's Night,7/6/64
The Harvest (La Cosecha),7/29/11
Love Letters,4/1/83
Julija in Alfa Romeo,9/17/15
Fireproof,9/26/08
Faith Connections,11/21/13
Benji,10/17/74
Open Water,8/6/04
High Road,3/6/12
Kingdom of the Spiders,8/24/77
Mad Hot Ballroom,5/13/05
The Station Agent,1/26/03
To Save A Life,11/5/09
Wordplay,6/26/06
Beyond the Mat,10/22/99
The Singles Ward,1/30/02
Osama,5/20/03
Sholem Aleichem: Laughing In The Darkness,2/24/12
Groove,6/8/00
The R.M.,1/31/03
Twin Falls Idaho,7/30/99
Mean Creek,1/15/04
Hurricane Streets,1/21/97
Never Again,7/12/02
Civil Brand,8/29/03
Lonesome Jim,11/16/05
Drinking Buddies,8/23/13
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,10/4/12
Kita svajonių komanda,9/28/12
Johnny Suede,8/18/91
Finishing The Game,1/21/07
Rubber,7/9/10
Kiss the Bride,1/1/07
The Slaughter Rule,1/1/02
Monsters,6/18/10
The Californians,10/21/05
The Living Wake,1/1/07
Detention of the Dead,4/27/12
疯狂的石头,1/1/06
Scott Walker: 30 Century Man,10/31/06
Everything Put Together,11/2/01
Good Kill,4/9/15
The Outrageous Sophie Tucker,5/2/14
Now Is Good,5/25/12
Girls Gone Dead,3/28/12
America Is Still the Place,
Subconscious,3/10/15
Enter Nowhere,10/22/11
El Rey de Najayo,3/1/12
Fight to the Finish,2/2/16
Alleluia! The Devil's Carnival,3/29/16
The Sound and the Shadow,10/19/14
Rodeo Girl,1/5/16
Born to Fly: Elizabeth Streb vs. Gravity,3/8/14
The Little Ponderosa Zoo,9/11/14
The Toxic Avenger,5/1/84
Straight Out of Brooklyn,6/13/91
Bloody Sunday,1/16/02
Diamond Ruff,1/1/15
Conversations with Other Women,6/7/06
Poultrygeist: Night of the Chicken Dead,12/26/06
Mutual Friends,4/15/14
42nd Street,2/2/33
Rise of the Entrepreneur: The Search for a Better Way,11/20/14
Metropolitan,8/3/90
Så som i himmelen,9/3/04
Roadside,3/1/13
Napoleon Dynamite,6/11/04
Blue Ruin,4/25/14
Paranormal Activity,9/14/07
Dogtown and Z-Boys,1/18/01
Monty Python and the Holy Grail,3/13/75
Quinceañera,6/5/06
Gory Gory Hallelujah,11/5/03
Tarnation,10/19/03
I Want Your Money,7/6/10
Love in the Time of Monsters,3/8/14
What Happens in Vegas,5/7/08
The Dark Hours,3/11/05
My Beautiful Laundrette,9/7/85
Fabled,1/1/02
Show Me,9/23/04
Viskningar och rop,12/21/72
Intolerance,9/4/16
Trekkies,10/18/97
The Broadway Melody,2/8/29
The Evil Dead,10/15/81
Maniac,12/26/12
Censored Voices,1/24/15
Murderball,7/22/05
American Ninja 2: The Confrontation,5/1/87
51 Birch Street,10/18/06
Rotor DR1,10/20/15
12 Angry Men,3/25/57
My Dog Tulip,1/1/09
It Happened One Night,2/22/34
Κυνόδοντας,6/1/09
Tupac: Resurrection,1/23/03
Tumbleweeds,11/28/99
The Prophecy,9/1/95
Chacun Cherche Son Chat,4/3/96
Pieces of April,1/19/03
The Big Swap,6/11/98
Old Joy,1/1/06
Wendy and Lucy,5/22/08
3 Backyards,1/1/10
Pierrot le fou,8/29/65
Sisters in Law,9/3/05
Ayurveda: Art of Being,9/20/01
Nothing But a Man,1/1/64
"First Love, Last Rites",8/7/98
Fighting Tommy Riley,5/6/05
Royal Kill,4/10/09
The Looking Glass,10/23/15
Death Race 2000,4/27/75
Locker 13,3/29/14
Midnight Cabaret,1/1/90
Anderson's Cross,5/20/10
Bizarre,2/7/15
Graduation Day,5/1/81
Some Guy Who Kills People,4/14/11
Compliance,8/23/12
Chasing Amy,4/4/97
Lovely & Amazing,8/31/01
Death Calls,9/1/10
Better Luck Tomorrow,1/12/02
The Incredibly True Adventure of Two Girls In Love,6/16/95
Chuck & Buck,1/21/00
American Desi,1/1/01
Amidst the Devil's Wings,12/1/14
Cube,9/9/97
Love and Other Catastrophes,8/1/96
I Married a Strange Person!,8/28/98
November,7/22/04
Like Crazy,10/28/11
Teeth and Blood,3/10/15
Sugar Town,9/17/99
The Motel,1/1/05
The Canyons,7/29/13
On the Outs,9/11/04
Shotgun Stories,10/1/07
Exam,6/19/09
The Sticky Fingers of Time,6/6/97
Sunday School Musical,10/21/08
Rust,10/7/10
Ink,1/23/09
The Christmas Bunny,11/28/10
Butterfly,2/5/82
UnDivided,2/1/13
The Frozen,10/10/12
Horse Camp,1/10/15
Give Me Shelter,6/24/14
The Big Parade,11/5/25
Little Big Top,1/1/06
Along the Roadside,2/28/13
Bronson,10/9/08
Western Religion,10/9/15
Burn,11/1/12
Urbania,1/24/00
The Stewardesses,7/25/69
"The Beast from 20,000 Fathoms",6/13/53
Mad Max,4/12/79
Swingers,10/18/96
Per un pugno di dollari,9/12/64
She Done Him Wrong,2/9/33
Short Cut to Nirvana: Kumbh Mela,5/11/04
The Grace Card,2/25/11
Middle of Nowhere,10/12/12
Drei,12/23/10
The Business of Fancydancing,1/14/02
Call + Response,10/10/08
Malevolence,9/10/04
Reality Show,1/1/15
Super Hybrid,1/1/10
Baghead,1/21/08
Solitude,10/21/14
Chats perchés,12/5/04
Ordet,1/9/55
Good Dick,10/3/08
The Man from Earth,6/10/07
The Trials Of Darryl Hunt,6/15/07
Samantha: An American Girl Holiday,11/23/04
Yesterday Was a Lie,1/1/08
Theresa Is a Mother,9/25/15
H.,8/28/14
Archaeology of a Woman,9/12/14
بچه‌های آسمان,8/1/97
Weekend,9/22/11
She's Gotta Have It,8/8/86
Butterfly Girl,3/10/14
Lumea e a mea,6/5/15
Another Earth,7/22/11
Sweet Sweetback's Baadasssss Song,4/23/71
Perfect Cowboy,7/13/14
Tadpole,11/1/02
Once,3/23/07
The Woman Chaser,10/8/99
The Horse Boy,11/25/09
When the Lights Went Out,1/31/12
Heroes of Dirt,9/4/15
A Charlie Brown Christmas,12/9/65
Antarctic Edge: 70° South,4/17/15
Aroused,2/20/13
Top Spin,11/15/14
Roger & Me,9/1/89
An American in Hollywood,7/18/14
Sound of My Voice,1/22/11
The Blood of My Brother: A Story of Death in Iraq,11/25/05
Your Sister's Sister,9/11/11
A Dog's Breakfast,3/3/07
Une femme mariée: Suite de fragments d'un film tourné en 1964,12/4/64
The Birth of a Nation,9/9/16
The Work and The Story,1/1/03
Facing the Giants,9/29/06
The Gallows,7/10/15
Eraserhead,3/19/77
Hollywood Shuffle,3/20/87
The Mighty,10/23/98
Penitentiary,12/1/79
The Lost Skeleton of Cadavra,9/12/01
Dude Where's My Dog?,6/12/14
Cheap Thrills,3/8/13
Indie Game: The Movie,5/18/12
Straightheads,4/27/07
Open Secret,2/14/48
Echo Dr.,11/8/13
The Night Visitor,1/1/71
The Past Is a Grotesque Animal,6/15/14
"Peace, Propaganda & the Promised Land",1/28/05
Pi,7/10/98
"I Love You, Don't Touch Me!",1/21/97
20 Dates,1/1/98
Queen Crab,9/29/15
Super Size Me,1/17/04
The FP,3/13/11
Happy Christmas,6/26/14
The Brain That Wouldn't Die,2/25/62
Tiger Orange,7/26/14
Supporting Characters,1/23/12
Absentia,3/3/11
The Brothers McMullen,8/9/95
The Dirties,10/4/13
"Gabriela, Cravo e Canela",3/24/83
Tiny Furniture,11/12/10
Hayride,10/13/12
The Naked Ape,9/16/06
Counting,2/9/15
The Call of Cthulhu,1/1/05
Bending Steel,4/20/13
The Signal,3/15/14
The Image Revolution,11/21/13
This Is Martin Bonner,6/28/13
A True Story,9/20/13
George Washington,10/1/00
Smiling Fish & Goat On Fire,9/16/99
Dawn of the Crescent Moon,4/5/14
Raymond Did It,3/27/11
The Last Waltz,5/1/78
"Run, Hide, Die",9/1/15
The Exploding Girl,4/22/09
The Legend of God's Gun,7/8/07
Mutual Appreciation,3/1/05
Her Cry: La Llorona Investigation,4/19/13
Down Terrace,9/1/09
Clerks,9/13/94
Pink Narcissus,1/1/71
Funny Ha Ha,9/20/02
In the Company of Men,1/19/97
Manito,1/15/02
Rampage,8/14/09
Slacker,7/27/90
Dutch Kills,10/2/15
Dry Spell,2/14/13
Flywheel,1/1/03
Backmask,1/16/15
The Puffy Chair,1/17/05
Stories of Our Lives,9/5/14
Breaking Upwards,3/14/09
All Superheroes Must Die,10/26/11
Pink Flamingos,3/12/72
Clean,9/1/04
دایره,9/8/00
Tin Can Man,1/1/07
On The Downlow,4/11/04
Sanctuary: Quite a Conundrum,1/20/12
Bang,9/9/95
Primer,10/8/04
Cavite,3/12/05
El Mariachi,9/4/92
Newlyweds,12/26/11
"Signed, Sealed, Delivered",10/13/13
Shanghai Calling,5/3/12
My Date with Drew,8/5/05
